"","DATE","OPEN","HIGH","LOW","CLOSE"
"137","10/11/2017","57.02","57.35","56.55","56.74"
"147","09/11/2017","56.85","57.53","56.69","57.17"
"157","08/11/2017","57.03","57.14","56.98","57.01"
"167","07/11/2017","57.27","57.69","56.83","57.2"
"177","06/11/2017","55.97","57.61","55.66","57.35"
"187","03/11/2017","54.73","55.76","54.4","55.64"
"197","02/11/2017","54.28","54.84","53.99","54.54"
"207","01/11/2017","54.65","55.22","53.89","54.3"
"2111","31/10/2017","54.08","54.85","53.93","54.38"
"228","30/10/2017","54.16","54.46","53.75","54.15"
"237","27/10/2017","52.8","54.2","52.25","53.9"
"247","26/10/2017","52.8","54.2","52.25","53.9"
"257","25/10/2017","52.56","52.57","51.89","52.18"
"267","24/10/2017","51.89","52.62","51.55","52.47"
"277","23/10/2017","52.07","52.3","51.68","51.9"
"287","20/10/2017","51.42","51.73","50.7","51.47"
"297","19/10/2017","51.43","51.72","50.7","51.7"
"307","18/10/2017","51.94","52.33","51.69","52.04"
"317","17/10/2017","52.02","52.16","51.99","52.08"
"229","16/10/2017","51.43","52.37","51.35","51.87"
"39","13/10/2017","50.73","51.72","50.7","51.45"
"48","12/10/2017","51","51.13","50.15","50.6"
"58","11/10/2017","50.94","51.42","50.61","51.3"
"68","10/10/2017","49.55","51.06","49.54","50.92"
"78","09/10/2017","49.25","49.79","49.13","49.58"
"88","06/10/2017","50.75","50.82","49.1","49.29"
"98","05/10/2017","50.75","50.82","49.1","49.29"
"108","04/10/2017","49.88","50","49.85","49.92"
"118","03/10/2017","50.59","50.73","50.14","50.42"
"128","02/10/2017","51.64","51.71","50.07","50.58"
"138","29/09/2017","51.58","51.77","51.25","51.67"
"148","28/09/2017","51.58","51.77","51.25","51.67"
"158","27/09/2017","52.08","52.27","51.88","52.22"
"168","26/09/2017","52.12","52.43","51.43","51.88"
"178","25/09/2017","50.68","52.28","50.39","52.22"
"188","22/09/2017","50.73","50.78","50.29","50.66"
"198","21/09/2017","50.7","50.77","50.3","50.64"
"208","20/09/2017","49.84","50.65","49.75","50.41"
"2112","19/09/2017","49.91","50.42","49.33","49.48"
"2210","18/09/2017","49.85","50.33","49.19","49.91"
"238","15/09/2017","49.72","50.13","49.41","49.89"
"248","14/09/2017","49.72","50.13","49.41","49.89"
"258","13/09/2017","48.34","49.4","48.12","49.3"
"268","12/09/2017","48.12","48.44","47.73","48.23"
"278","11/09/2017","47.58","48.27","47","48.07"
"288","08/09/2017","49.07","49.26","47.27","47.48"
"298","07/09/2017","49.09","49.26","47.27","47.48"
"308","06/09/2017","48.59","49.42","48.52","49.16"
"318","05/09/2017","47.28","48.98","47.15","48.66"
"230","04/09/2017","47.41","47.44","47.36","47.39"
"310","01/09/2017","47.08","47.35","46.56","47.29"
"49","31/08/2017","47.08","47.35","46.56","47.29"
"59","30/08/2017","46.31","46.72","45.84","45.96"
"69","29/08/2017","46.86","46.96","45.76","46.44"
"79","28/08/2017","47.89","48.2","46.15","46.57"
