Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,34.509998,35.139999,34.009998,34.020000,31.486027,6905900
2008-01-02,34.119999,34.250000,32.560001,33.009998,30.551252,12099100
2008-01-03,33.200001,33.860001,32.630001,32.750000,30.310623,11882700
2008-01-04,31.770000,31.930000,29.799999,30.000000,27.765457,18402300
2008-01-07,30.200001,30.450001,26.350000,26.900000,24.896360,25170000
2008-01-08,27.049999,29.290001,26.420000,27.469999,25.423901,27673900
2008-01-09,27.840000,28.900000,27.430000,28.889999,26.738134,18525900
2008-01-10,28.100000,28.740000,27.730000,28.290001,26.182819,13860800
2008-01-11,27.620001,28.200001,26.850000,27.049999,25.035185,14315300
2008-01-14,27.450001,28.889999,27.010000,28.850000,26.701115,13479700
2008-01-15,27.750000,28.080000,26.260000,26.730000,24.739016,18142300
2008-01-16,25.049999,25.360001,23.160000,23.709999,21.943970,36611800
2008-01-17,24.080000,24.719999,23.240000,23.299999,21.564501,28347500
2008-01-18,23.370001,24.969999,22.520000,24.840000,22.989794,23010700
2008-01-22,22.469999,24.180000,22.330000,23.600000,21.842157,17727300
2008-01-23,22.639999,24.740000,22.420000,24.030001,22.240126,23247000
2008-01-24,24.500000,25.879999,24.270000,25.870001,23.943081,14927300
2008-01-25,26.860001,27.459999,24.830000,24.950001,23.091604,17200300
2008-01-28,24.860001,25.110001,24.120001,24.650000,22.813946,14440200
2008-01-29,25.090000,25.510000,24.440001,25.410000,23.517345,10362100
2008-01-30,25.000000,25.570000,24.469999,25.190001,23.313725,13261900
2008-01-31,24.639999,25.049999,23.830000,24.590000,22.758421,14717700
2008-02-01,24.540001,27.000000,24.330000,26.860001,24.859343,14827600
2008-02-04,27.440001,27.590000,25.879999,26.020000,24.081909,14128200
2008-02-05,25.500000,25.510000,24.379999,24.389999,22.573315,12373200
2008-02-06,24.650000,25.330000,23.860001,24.309999,22.499277,13934500
2008-02-07,23.610001,25.240000,23.100000,24.549999,22.721399,16603200
2008-02-08,24.320000,25.180000,24.000000,24.990000,23.128624,9848300
2008-02-11,25.200001,25.610001,24.900000,25.070000,23.202663,12593300
2008-02-12,25.450001,26.360001,25.309999,26.000000,24.063395,15242200
2008-02-13,26.200001,27.100000,25.920000,27.020000,25.007423,18557800
2008-02-14,26.230000,26.250000,22.549999,22.610001,20.925894,54607400
2008-02-15,22.520000,23.129999,21.910000,22.270000,20.611221,20434100
2008-02-19,22.680000,22.719999,21.750000,21.940001,20.305799,13965200
2008-02-20,21.299999,22.100000,21.209999,21.780001,20.157722,18975400
2008-02-21,22.000000,22.110001,21.160000,21.290001,19.704216,16106800
2008-02-22,21.459999,22.360001,21.299999,22.320000,20.657497,18076300
2008-02-25,22.299999,22.559999,21.719999,22.309999,20.648235,16794600
2008-02-26,22.180000,22.840000,21.840000,22.500000,20.824089,14135500
2008-02-27,22.389999,23.030001,22.250000,22.850000,21.148024,13445400
2008-02-28,22.650000,22.690001,21.990000,21.990000,20.352079,12590200
2008-02-29,21.629999,21.920000,21.299999,21.389999,19.796770,13514400
2008-03-03,21.360001,21.510000,20.860001,21.139999,19.565390,11225700
2008-03-04,21.000000,21.040001,20.110001,20.930000,19.371033,19472200
2008-03-05,21.129999,21.670000,20.910000,21.170000,19.593159,16116400
2008-03-06,20.910000,21.049999,19.809999,19.840000,18.362219,26882100
2008-03-07,19.480000,20.320000,19.000000,19.549999,18.093821,19187500
2008-03-10,19.309999,19.549999,18.400000,18.430000,17.057243,19402500
2008-03-11,19.000000,19.230000,18.240000,19.040001,17.621805,21448500
2008-03-12,19.219999,19.389999,18.360001,18.520000,17.140541,18583000
2008-03-13,18.230000,19.980000,18.120001,19.700001,18.232649,30513200
2008-03-14,19.799999,19.820000,18.180000,18.320000,16.955439,28874300
2008-03-17,17.520000,18.480000,17.309999,17.860001,16.529703,20023800
2008-03-18,18.280001,19.000000,17.760000,18.969999,17.557016,26881400
2008-03-19,18.530001,18.790001,17.660000,17.660000,16.344597,22011900
2008-03-20,17.870001,18.559999,17.549999,18.520000,17.140541,15836500
2008-03-24,18.930000,20.139999,18.860001,20.030001,18.538071,22186000
2008-03-25,20.120001,20.700001,19.930000,20.320000,18.806469,18384700
2008-03-26,20.049999,20.190001,19.450001,19.670000,18.204885,18041300
2008-03-27,19.370001,19.920000,19.070000,19.389999,17.945732,15032700
2008-03-28,19.740000,20.190001,19.540001,19.680000,18.214140,14044700
2008-03-31,19.889999,20.260000,19.540001,19.790001,18.315941,14249800
2008-04-01,20.379999,21.049999,20.090000,21.000000,19.435820,16921800
2008-04-02,21.059999,21.059999,20.200001,20.360001,18.843487,15413400
2008-04-03,20.190001,20.219999,19.389999,19.980000,18.491789,21049600
2008-04-04,19.580000,19.680000,18.730000,18.780001,17.381182,38388200
2008-04-07,19.240000,19.520000,19.080000,19.230000,17.797657,18237400
2008-04-08,19.000000,19.740000,19.000000,19.120001,17.695854,15986900
2008-04-09,19.340000,19.700001,19.160000,19.500000,18.047544,16880800
2008-04-10,19.709999,20.510000,19.290001,19.879999,18.399239,27304600
2008-04-11,19.500000,19.620001,18.410000,18.530001,17.149796,27657000
2008-04-14,18.459999,18.500000,17.799999,17.910000,16.575975,19500100
2008-04-15,18.000000,18.190001,17.610001,18.120001,16.770340,10997900
2008-04-16,18.809999,19.080000,18.480000,18.840000,17.436707,16170900
2008-04-17,17.969999,18.650000,17.959999,18.580000,17.196070,14924200
2008-04-18,19.150000,19.320000,18.760000,19.020000,17.603296,14338500
2008-04-21,18.870001,20.000000,18.870001,19.870001,18.389984,16997300
2008-04-22,19.510000,19.719999,19.080000,19.500000,18.047544,14691700
2008-04-23,19.770000,20.660000,19.510000,20.440001,18.917532,25512400
2008-04-24,20.559999,20.660000,19.650000,19.950001,18.464027,16394100
2008-04-25,20.139999,20.200001,19.510000,20.150000,18.649128,13805200
2008-04-28,20.059999,20.360001,19.709999,19.790001,18.315941,13392500
2008-04-29,19.570000,20.450001,19.570000,20.200001,18.695410,14335200
2008-04-30,20.440001,20.770000,20.299999,20.549999,19.019335,26708000
2008-05-01,20.799999,21.549999,20.700001,21.500000,19.898571,25365600
2008-05-02,22.090000,22.520000,21.760000,22.520000,20.842598,28275400
2008-05-05,22.370001,22.469999,21.910000,21.959999,20.324314,23584800
2008-05-06,21.900000,22.580000,21.559999,22.530001,20.851856,18225900
2008-05-07,22.590000,22.889999,21.820000,22.010000,20.370594,17890800
2008-05-08,22.180000,22.250000,21.010000,21.950001,20.315060,34000000
2008-05-09,22.010000,23.430000,21.969999,22.530001,20.851856,50758800
2008-05-12,22.820000,22.820000,21.670000,21.889999,20.259523,25166300
2008-05-13,22.000000,22.000000,21.280001,21.440001,19.843042,21352700
2008-05-14,21.709999,22.639999,21.440001,22.070000,20.426119,18778700
2008-05-15,22.020000,23.879999,21.920000,23.780001,22.008749,29136600
2008-05-16,24.180000,24.459999,23.629999,24.410000,22.591824,27288900
2008-05-19,24.420000,25.309999,23.730000,23.900000,22.119810,28963300
2008-05-20,23.250000,23.520000,23.010000,23.280001,21.545996,19285100
2008-05-21,23.340000,24.240000,23.040001,23.090000,21.370148,26666500
2008-05-22,23.420000,23.840000,23.049999,23.650000,21.888437,17327700
2008-05-23,23.610001,23.799999,22.770000,23.110001,21.388655,20066800
2008-05-27,23.150000,23.389999,22.709999,23.360001,21.620035,20821400
2008-05-28,24.000000,24.059999,23.309999,23.580000,21.823645,18793400
2008-05-29,23.590000,23.629999,23.090000,23.520000,21.768116,17336500
2008-05-30,24.190001,24.780001,24.120001,24.700001,22.860229,20756100
2008-06-02,24.700001,24.990000,24.430000,24.799999,22.952778,18366500
2008-06-03,24.879999,24.920000,23.670000,23.959999,22.175343,21017400
2008-06-04,23.430000,24.290001,23.299999,24.240000,22.434484,20793100
2008-06-05,25.080000,25.350000,24.570000,24.850000,22.999048,20696500
2008-06-06,24.549999,24.580000,23.920000,24.059999,22.267895,19621900
2008-06-09,23.920000,24.250000,23.209999,23.690001,21.925455,15947900
2008-06-10,23.049999,23.080000,22.139999,22.290001,20.629730,30630200
2008-06-11,22.290001,22.830000,21.219999,21.250000,19.667194,24985700
2008-06-12,21.730000,22.150000,21.200001,21.379999,19.787516,20649800
2008-06-13,21.410000,21.660000,20.680000,21.309999,19.722723,17643700
2008-06-16,21.080000,21.280001,20.850000,21.020000,19.454330,15762400
2008-06-17,21.320000,21.330000,20.459999,20.510000,18.982315,17197800
2008-06-18,20.299999,21.000000,19.580000,19.910000,18.427010,26631800
2008-06-19,20.020000,20.299999,19.379999,19.860001,18.380733,19623200
2008-06-20,19.420000,19.980000,19.410000,19.760000,18.288177,18525200
2008-06-23,19.910000,19.930000,19.180000,19.350000,17.908716,19415400
2008-06-24,19.240000,20.450001,19.240000,19.990000,18.501047,26973200
2008-06-25,20.299999,20.450001,19.780001,20.100000,18.602858,22524400
2008-06-26,19.500000,19.650000,19.070000,19.070000,17.649570,21138300
2008-06-27,19.150000,19.389999,18.709999,19.280001,17.843933,14603500
2008-06-30,19.059999,19.230000,18.590000,18.719999,17.325642,16348500
2008-07-01,18.500000,18.770000,18.160000,18.750000,17.353405,22036600
2008-07-02,18.660000,18.780001,18.000000,18.030001,16.687037,19079900
2008-07-03,12.980000,13.130000,12.400000,12.490000,11.559683,74688000
2008-07-07,12.680000,12.760000,11.760000,12.100000,11.198733,55067300
2008-07-08,12.180000,12.480000,11.800000,12.030000,11.133947,45132200
2008-07-09,12.060000,12.240000,11.820000,11.820000,10.939589,35329200
2008-07-10,11.880000,12.020000,11.570000,11.790000,10.911822,26424800
2008-07-11,11.550000,11.960000,11.320000,11.670000,10.800762,20194000
2008-07-14,11.760000,11.850000,11.060000,11.140000,10.310238,22057900
2008-07-15,11.040000,11.490000,10.700000,11.260000,10.421299,28062100
2008-07-16,11.300000,11.620000,10.990000,11.320000,10.476832,25859800
2008-07-17,11.500000,11.500000,10.920000,11.360000,10.513852,21552000
2008-07-18,11.280000,11.630000,10.960000,11.560000,10.698956,22493000
2008-07-21,11.740000,11.910000,11.530000,11.630000,10.763742,14290900
2008-07-22,11.520000,11.570000,11.160000,11.380000,10.532364,13898100
2008-07-23,11.460000,11.840000,11.410000,11.720000,10.847041,14871900
2008-07-24,11.600000,11.710000,11.000000,11.030000,10.208431,17640700
2008-07-25,11.140000,11.600000,10.910000,11.560000,10.698956,25990000
2008-07-28,11.410000,11.910000,11.360000,11.530000,10.671188,18370200
2008-07-29,11.550000,11.940000,11.420000,11.650000,10.782250,19115900
2008-07-30,11.880000,11.900000,11.220000,11.480000,10.624911,14712300
2008-07-31,11.450000,11.690000,11.320000,11.440000,10.587892,12180900
2008-08-01,11.140000,11.180000,10.700000,10.840000,10.032583,22026500
2008-08-04,10.840000,10.900000,10.550000,10.580000,9.791950,13051300
2008-08-05,10.780000,11.190000,10.660000,11.190000,10.356513,17146100
2008-08-06,11.220000,11.590000,10.860000,11.490000,10.634171,20371600
2008-08-07,11.390000,11.900000,11.180000,11.310000,10.467578,20480800
2008-08-08,11.400000,11.500000,10.960000,11.000000,10.180667,21344100
2008-08-11,11.080000,11.500000,11.040000,11.230000,10.393536,29910900
2008-08-12,11.320000,11.350000,10.910000,11.070000,10.245454,35271700
2008-08-13,11.950000,12.440000,11.660000,12.260000,11.346816,52381500
2008-08-14,12.170000,13.490000,12.170000,13.000000,12.031697,40882600
2008-08-15,13.230000,13.380000,12.870000,12.960000,11.994676,19441300
2008-08-18,13.050000,13.340000,12.910000,13.220000,12.235312,22349200
2008-08-19,12.950000,13.500000,12.950000,13.420000,12.420416,25353500
2008-08-20,13.620000,14.120000,13.520000,14.080000,13.031255,28592300
2008-08-21,13.830000,13.940000,13.340000,13.620000,12.605517,25539000
2008-08-22,13.720000,13.880000,13.320000,13.610000,12.596261,11481600
2008-08-25,13.530000,13.850000,13.370000,13.410000,12.411159,11790000
2008-08-26,13.480000,13.490000,12.950000,13.090000,12.114991,15327800
2008-08-27,12.790000,13.350000,12.670000,13.190000,12.207544,11365500
2008-08-28,13.210000,13.350000,13.010000,13.140000,12.161269,9129800
2008-08-29,12.960000,13.000000,12.600000,12.640000,11.698512,12900100
2008-09-02,12.850000,12.960000,12.150000,12.320000,11.402347,17348200
